the	ðə
a	ə
an	ən
and	ænd
to	tu
of	ʌv
in	ɪn
is	ɪz
it	ɪt
you	ju
that	ðæt
he	hi
she	ʃi
was	wʌz
for	fɔɹ
on	ɑn
are	ɑɹ
as	æz
with	wɪð
his	hɪz
they	ðeɪ
i	aɪ
at	æt
be	bi
this	ðɪs
have	hæv
from	fɹʌm
or	ɔɹ
one	wʌn
had	hæd
by	baɪ
word	wɜːd
but	bʌt
not	nɑt
what	wʌt
all	ɔl
were	wɜː
we	wi
when	wɛn
your	jɔɹ
can	kæn
said	sɛd
there	ðɛɹ
use	juz
each	iʧ
which	wɪʧ
do	du
how	haʊ
their	ðɛɹ
if	ɪf
will	wɪl
up	ʌp
other	ˈʌðɚ
about	əˈbaʊt
out	aʊt
many	ˈmɛni
then	ðɛn
them	ðɛm
these	ðiz
so	soʊ
some	sʌm
her	hɜː
would	wʊd
make	meɪk
like	laɪk
him	hɪm
into	ˈɪntu
time	taɪm
has	hæz
look	lʊk
two	tu
more	mɔɹ
write	ɹaɪt
go	ɡoʊ
see	si
number	ˈnʌmbɚ
no	noʊ
way	weɪ
could	kʊd
people	ˈpipəl
my	maɪ
than	ðæn
first	fɜːst
water	ˈwɔtɚ
been	bɪn
call	kɔl
who	hu
oil	ɔɪl
now	naʊ
find	faɪnd
long	lɔŋ
down	daʊn
day	deɪ
did	dɪd
get	ɡɛt
come	kʌm
made	meɪd
may	meɪ
part	pɑɹt
over	ˈoʊvɚ
new	nu
sound	saʊnd
take	teɪk
only	ˈoʊnli
little	ˈlɪtəl
work	wɜːk
know	noʊ
place	pleɪs
year	jɪɹ
live	lɪv
me	mi
back	bæk
give	ɡɪv
most	moʊst
very	ˈvɛɹi
after	ˈæftɚ
thing	θɪŋ
our	aʊɚ
just	ʤʌst
name	neɪm
good	ɡʊd
sentence	ˈsɛntəns
man	mæn
think	θɪŋk
say	seɪ
great	ɡɹeɪt
where	wɛɹ
help	hɛlp
through	θɹu
much	mʌʧ
before	bɪˈfɔɹ
line	laɪn
right	ɹaɪt
too	tu
mean	min
old	oʊld
any	ˈɛni
same	seɪm
tell	tɛl
boy	bɔɪ
follow	ˈfɑloʊ
came	keɪm
want	wɑnt
show	ʃoʊ
also	ˈɔlsoʊ
around	əˈraʊnd
form	fɔɹm
three	θɹi
small	smɔl
set	sɛt
put	pʊt
end	ɛnd
does	dʌz
another	əˈnʌðɚ
well	wɛl
large	lɑɹʤ
must	mʌst
big	bɪɡ
even	ˈivən
such	sʌʧ
because	bɪˈkʌz
turn	tɜːn
here	hɪɹ
why	waɪ
ask	æsk
went	wɛnt
men	mɛn
read	ɹɛd
